Zone,weekday,hour,rides,avg_trip_miles,avg_fare,avg_driver_pay
Kips Bay,Saturday,12,934,3.6643683083511776,21.407580299785867,16.35437901498929
Kips Bay,Saturday,13,929,3.8835834230355224,22.638471474703984,17.37660925726588
Kips Bay,Saturday,14,900,4.143324444444445,23.839088888888888,18.38501111111111
Kips Bay,Saturday,15,991,4.17411301715439,23.27100908173562,18.453309788092835
Kips Bay,Saturday,16,1121,3.659311329170383,22.018099910793936,17.2078412132025
Kips Bay,Saturday,17,1171,3.5587344150298894,22.55491887275833,17.897019641332193
Kips Bay,Saturday,18,1450,3.5209337931034486,23.576393103448275,18.16314482758621
Kips Bay,Saturday,19,1713,3.500877408056042,23.902078225335668,18.355288966725045
Kips Bay,Saturday,20,1450,3.471184137931034,21.552455172413794,17.186427586206896
Kips Bay,Saturday,21,1355,3.637063468634686,20.921586715867157,16.596583025830256
Kips Bay,Saturday,22,1431,3.8846086652690426,21.818728162124387,16.922215234102026
Kips Bay,Saturday,23,1434,4.353030683403069,24.737803347280337,18.72860529986053
Kips Bay,Sunday,0,1047,4.688239732569245,22.596781279847185,17.41747851002865
Kips Bay,Sunday,1,825,4.8427418181818185,22.88158787878788,17.362181818181817
Kips Bay,Sunday,2,594,5.020338383838384,23.37575757575758,17.445420875420876
Kips Bay,Sunday,3,416,5.22284375,24.13951923076923,17.59079326923077
Kips Bay,Sunday,4,268,6.8227574626865675,29.239664179104476,21.168731343283582
Kips Bay,Sunday,5,235,6.639340425531914,27.89463829787234,20.487829787234045
Kips Bay,Sunday,6,294,5.742316326530612,25.81591836734694,19.09765306122449
Kips Bay,Sunday,7,529,6.48521550094518,24.429413988657846,19.877485822306237
Kips Bay,Sunday,8,356,5.499755617977528,23.135140449438204,17.984747191011234
Kips Bay,Sunday,9,357,4.246002801120448,21.219327731092438,15.594789915966388
Kips Bay,Sunday,10,411,3.576807785888078,19.419124087591243,14.311849148418492
Kips Bay,Sunday,11,477,4.2844192872117395,22.519790356394132,16.688616352201258
Kips Bay,Sunday,12,521,4.241631477927063,22.990000000000002,17.060786948176585
Kips Bay,Sunday,13,522,4.668708812260536,24.84712643678161,19.100268199233717
Kips Bay,Sunday,14,427,4.862313817330211,26.729461358313817,20.673185011709602
Kips Bay,Sunday,15,466,4.9834291845493555,26.71585836909871,21.172403433476394
Kips Bay,Sunday,16,488,4.864219262295082,25.209139344262294,20.057766393442623
